,Theme,Nudges
0,Water Saved,Adopt cultivation of less water intensive crops like millets duyf
1,Water Saved,Adopt cultivation of less water intensive crops like millets BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.
3,Water Saved,"Adopt cultivation of less water intensive crops like millets RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 21st March, 2023 #ChooseLiFE #ProPlanetPeople"
5,Water Saved,"Adopt cultivation of less water intensive crops like millets HFRI organized an event on MissonLiFE theme ""Rainwater Harvesting"" at Kendriya Vidyalaya, Ghumarwin, Bilaspur, HP on 6th February, 2023."
9,Water Saved,Adopt cultivation of less water intensive crops like millets kjhure
10,Water Saved,Adopt cultivation of less water intensive crops like millets “Rainwater Harvesting”
12,Water Saved,"Adopt cultivation of less water intensive crops like millets RMNH Mysore, NMNH - MoEFCC organised Green Talk/interaction on #Mission LiFE - #Lifestyle for Environment# on 08th March 2023 in which 216 students and general public participated #ChooseLiFE"
15,Water Saved,"Adopt cultivation of less water intensive crops like millets RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 28th March, 2023 #ChooseLiFE #ProPlanetPeople"
23,Water Saved,Adopt cultivation of less water intensive crops like millets Green Talk/interaction on #Mission LiFE
30,Water Saved,Adopt cultivation of less water intensive crops like millets BPCL Retail Outlets (Eastern Region) - January-2023.
36,Single-Use Plastic Reduced,Carry your own water bottle wherever possible the state of Haryana has banned the use of pet bottles in the all the  Government offices and being complied with.
37,LiFEStyles Adopted,Compost food waste at home Promotion of #MissionLiFE on social media and showcasing of pictures and vidoes on how natural medicines and organic products can support Mission LiFE in the Consulate.
38,LiFEStyles Adopted,Compost food waste at home Healthy Lifestyle â€“ To practice an efficient waste management at home by properly segregating kitchen waste. #MissionLiFE
39,LiFEStyles Adopted,Create kitchen gardens/ terrace gardens at homes/ schools/ offices test test test test test 
40,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices Green Talk/interaction on #Mission LiFE
