Sl. No,Theme,Action,Brief Description of Activity,
1,Water Saved,Adopt cultivation of less water intensive crops like millets,duyf,
2,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles,Green Talk/interaction on #Mission LiFE,
3,Water Saved,Reuse water from washed vegetables to water plants and other purpose,Green Talk/interaction on #Mission LiFE,
4,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,Green Talk/interaction on #Mission LiFE,
5,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,Green Talk/interaction on #Mission LiFE,
6,Water Saved,Adopt cultivation of less water intensive crops like millets,Green Talk/interaction on #Mission LiFE,
7,Energy Saved,Use public transport wherever possible,"A sensitization programme on use of public transport by ICFRE-HFRI, Shimla",
8,Energy Saved,Use public transport wherever possible,"A sensitization programme on use of public transport by ICFRE-HFRI, Shimla",
9,Energy Saved,Use public transport wherever possible,"A sensitization programme on use of public transport by ICFRE-HFRI, Shimla",
10,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Presentation on LiFE for sensitizing ICFRE-RFRI, Jorhat personnel on various activities of LiFE programme",
11,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Presentation on LiFE for sensitizing ICFRE-RFRI, Jorhat personnel on various activities of LiFE programme",
12,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Presentation on LiFE for sensitizing ICFRE-RFRI, Jorhat personnel on various activities of LiFE programme",
13,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Presentation on LiFE for sensitizing ICFRE-RFRI, Jorhat personnel on various activities of LiFE programme",
14,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Lecture on diseases in daily life and their protections by Dr. D.S. Mertiya organized by ICFRE-AFRI, Jodhpur",
15,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Lecture on diseases in daily life and their protections by Dr. D.S. Mertiya organized by ICFRE-AFRI, Jodhpur",
16,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Lecture on diseases in daily life and their protections by Dr. D.S. Mertiya organized by ICFRE-AFRI, Jodhpur",
17,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness and Promotion of Mission LiFE, Encourage of use of milltes in food and indegenous herbs and medicinal plants for nutrition and well being by ICFRE-IFB, Hyderabad",
18,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness and Promotion of Mission LiFE, Encourage of use of milltes in food and indegenous herbs and medicinal plants for nutrition and well being by ICFRE-IFB, Hyderabad",
19,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness and Promotion of Mission LiFE, Encourage of use of milltes in food and indegenous herbs and medicinal plants for nutrition and well being by ICFRE-IFB, Hyderabad",
20,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi.",
21,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi.",
22,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi.",
23,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi.",
24,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi.",
25,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi.",
26,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi.",
27,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,"Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi.",
28,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE",
29,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE",
30,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE",
31,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)","RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE",
